CÓDIGO REGIÓN;CÓDIGO COMUNA;NOMBRE REGIÓN;NOMBRE PROVINCIA;NOMBRE COMUNA;URBANO;TIPO;CATEGORIA;TOTAL POBLACIÓN;TOTAL HOMBRES;TOTALES MUJERES;TOTAL VIVIENDAS;CIUDAD;TIPO DATO;CONTEO
1;1101;DE TARAPACÁ;IQUIQUE;IQUIQUE;IQUIQUE;CAPITAL REGIONAL;CIUDAD;188003;92813;95190;65264;IQUIQUE;ORIGEN;1
1;1107;DE TARAPACÁ;IQUIQUE;ALTO HOSPICIO;ALTO HOSPICIO;CAPITAL COMUNAL;CIUDAD;105065;51602;53463;32824;ALTO HOSPICIO;ORIGEN;1
1;1401;DE TARAPACÁ;TAMARUGAL;POZO ALMONTE;POZO ALMONTE;CAPITAL PROVINCIAL;CIUDAD;9277;4632;4645;3326;POZO ALMONTE;ORIGEN;1
1;1404;DE TARAPACÁ;TAMARUGAL;HUARA;HUARA;CAPITAL COMUNAL;PUEBLO;1082;589;493;525;HUARA;ORIGEN;1
1;1405;DE TARAPACÁ;TAMARUGAL;PICA;PICA;CAPITAL COMUNAL;PUEBLO;3876;1909;1967;2044;PICA;ORIGEN;1
2;2101;DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;CAPITAL REGIONAL;CIUDAD;348517;171381;177136;110563;ANTOFAGASTA;ORIGEN;1
2;2101;DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;CERRO MORENO;URBANO;PUEBLO;1466;884;582;330;CERRO MORENO;ORIGEN;1
2;2102;DE ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;MEJILLONES;CAPITAL COMUNAL;CIUDAD;12784;7561;5223;3609;MEJILLONES;ORIGEN;1
2;2104;DE ANTOFAGASTA;ANTOFAGASTA;TALTAL;TALTAL;CAPITAL COMUNAL;CIUDAD;10933;5592;5341;3842;TALTAL;ORIGEN;1
2;2201;DE ANTOFAGASTA;EL LOA;CALAMA;CALAMA;CAPITAL PROVINCIAL;CIUDAD;157575;79804;77771;52846;CALAMA;ORIGEN;1
2;2203;DE ANTOFAGASTA;EL LOA;SAN PEDRO DE ATACAMA;SAN PEDRO DE ATACAMA;CAPITAL COMUNAL;CIUDAD;5347;2593;2754;1954;SAN PEDRO DE ATACAMA;ORIGEN;1
2;2301;DE ANTOFAGASTA;TOCOPILLA;TOCOPILLA;TOCOPILLA;CAPITAL PROVINCIAL;CIUDAD;24521;12036;12485;9129;TOCOPILLA;ORIGEN;1
2;2302;DE ANTOFAGASTA;TOCOPILLA;MARÍA ELENA;MARÍA ELENA;CAPITAL COMUNAL;PUEBLO;4902;2760;2142;1787;MARÍA ELENA;ORIGEN;1
3;3101;DE ATACAMA;COPIAPÓ;COPIAPÓ;COPIAPÓ;CAPITAL REGIONAL;CIUDAD;150804;74866;75938;53625;COPIAPÓ;ORIGEN;1
3;3102;DE ATACAMA;COPIAPÓ;CALDERA;CALDERA;CAPITAL COMUNAL;CIUDAD;15547;7860;7687;7265;CALDERA;ORIGEN;1
3;3103;DE ATACAMA;COPIAPÓ;TIERRA AMARILLA;TIERRA AMARILLA;CAPITAL COMUNAL;CIUDAD;9857;5015;4842;3230;TIERRA AMARILLA;ORIGEN;1
3;3201;DE ATACAMA;CHAÑARAL;CHAÑARAL;CHAÑARAL;CAPITAL PROVINCIAL;CIUDAD;11073;5641;5432;4250;CHAÑARAL;ORIGEN;1
3;3202;DE ATACAMA;CHAÑARAL;DIEGO DE ALMAGRO;EL SALVADOR;URBANO;CIUDAD;6032;3321;2711;3014;EL SALVADOR;ORIGEN;1
3;3202;DE ATACAMA;CHAÑARAL;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO;CAPITAL COMUNAL;CIUDAD;7223;3776;3447;3202;DIEGO DE ALMAGRO;ORIGEN;1
3;3301;DE ATACAMA;HUASCO;VALLENAR;VALLENAR;CAPITAL PROVINCIAL;CIUDAD;45298;21933;23365;15901;VALLENAR;ORIGEN;1
3;3303;DE ATACAMA;HUASCO;FREIRINA;FREIRINA;CAPITAL COMUNAL;PUEBLO;3504;1653;1851;1305;FREIRINA;ORIGEN;1
3;3303;DE ATACAMA;HUASCO;FREIRINA;VICUÑA MACKENNA;URBANO;PUEBLO;1037;499;538;452;VICUÑA MACKENNA;ORIGEN;1
3;3304;DE ATACAMA;HUASCO;HUASCO;HUASCO;CAPITAL COMUNAL;CIUDAD;7071;3618;3453;3025;HUASCO;ORIGEN;1
3;3304;DE ATACAMA;HUASCO;HUASCO;HUASCO BAJO;URBANO;PUEBLO;1589;764;825;641;HUASCO BAJO;ORIGEN;1
4;4101;DE COQUIMBO;ELQUI;LA SERENA;LA SERENA;CAPITAL REGIONAL;CIUDAD;195382;92063;103319;76998;LA SERENA;ORIGEN;1
4;4101;DE COQUIMBO;ELQUI;LA SERENA;CALETA SAN PEDRO;URBANO;PUEBLO;2114;1035;1079;777;CALETA SAN PEDRO;ORIGEN;1
4;4101;DE COQUIMBO;ELQUI;LA SERENA;ALTOVALSOL;URBANO;PUEBLO;1292;645;647;418;ALTOVALSOL;ORIGEN;1
4;4101;DE COQUIMBO;ELQUI;LA SERENA;ALGARROBITO;URBANO;PUEBLO;1056;513;543;360;ALGARROBITO;ORIGEN;1
4;4102;DE COQUIMBO;ELQUI;COQUIMBO;GUANAQUEROS;URBANO;PUEBLO;1762;921;841;1892;GUANAQUEROS;ORIGEN;1
4;4102;DE COQUIMBO;ELQUI;COQUIMBO;TONGOY;URBANO;CIUDAD;5552;2909;2643;2600;TONGOY;ORIGEN;1
4;4102;DE COQUIMBO;ELQUI;COQUIMBO;COQUIMBO;CAPITAL PROVINCIAL;CIUDAD;204068;97714;106354;76337;COQUIMBO;ORIGEN;1
4;4102;DE COQUIMBO;ELQUI;COQUIMBO;EL PEÑÓN;URBANO;PUEBLO;1476;769;707;669;EL PEÑÓN;ORIGEN;1
4;4103;DE COQUIMBO;ELQUI;ANDACOLLO;ANDACOLLO;CAPITAL COMUNAL;CIUDAD;9989;4967;5022;3801;ANDACOLLO;ORIGEN;1
4;4104;DE COQUIMBO;ELQUI;LA HIGUERA;LA HIGUERA;CAPITAL COMUNAL;PUEBLO;1251;607;644;537;LA HIGUERA;ORIGEN;1
4;4106;DE COQUIMBO;ELQUI;VICUÑA;VICUÑA;CAPITAL COMUNAL;CIUDAD;15872;7636;8236;5836;VICUÑA;ORIGEN;1
4;4106;DE COQUIMBO;ELQUI;VICUÑA;NUEVA TALCUNA;URBANO;PUEBLO;1113;545;568;363;NUEVA TALCUNA;ORIGEN;1
4;4201;DE COQUIMBO;CHOAPA;ILLAPEL;ILLAPEL;CAPITAL PROVINCIAL;CIUDAD;20751;9610;11141;7750;ILLAPEL;ORIGEN;1
4;4202;DE COQUIMBO;CHOAPA;CANELA;CANELA BAJA;CAPITAL COMUNAL;PUEBLO;1918;933;985;988;CANELA BAJA;ORIGEN;1
4;4203;DE COQUIMBO;CHOAPA;LOS VILOS;QUILIMARÍ ALTO;URBANO;PUEBLO;1612;846;766;1709;QUILIMARÍ ALTO;ORIGEN;1
4;4203;DE COQUIMBO;CHOAPA;LOS VILOS;PICHIDANGUI;URBANO;PUEBLO;1380;705;675;1974;PICHIDANGUI;ORIGEN;1
